ANO_ELEICAO;CD_ELEICAO;SG_UF;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_CANDIDATO;NM_URNA_CANDIDATO;CD_SITUACAO_CANDIDATURA;DS_SITUACAO_CANDIDATURA;CD_DETALHE_SITUACAO_CAND;DS_DETALHE_SITUACAO_CAND;TP_AGREMIACAO;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO;SQ_COLIGACAO;NM_COLIGACAO;DS_COMPOSICAO_COLIGACAO
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;14;LUIZ CLAUDIO MEDEIROS DA FONSECA GAMONAL;PASTOR GAMONAL;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;2,80E+11;PARTIDO ISOLADO;PTB
2022;544;BR;PRESIDENTE;2,80002E+11;14;KELMON LUIS DA SILVA SOUZA;PADRE KELMON;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;14;PTB;PARTIDO TRABALHISTA BRASILEIRO;2,80E+11;PARTIDO ISOLADO;PTB
2022;544;BR;PRESIDENTE;2,80002E+11;15;SIMONE NASSAR TEBET;SIMONE TEBET;12;APTO;2;DEFERIDO;COLIGAÇÃO;15;MDB;MOVIMENTO DEMOCRÁTICO BRASILEIRO;2,80E+11;Coligação Brasil para Todos;MDB / (PSDB/CIDADANIA) / PODE
2022;545;BR;VICE-PRESIDENTE;2,80002E+11;13;GERALDO JOSÉ RODRIGUES ALCKMIN FILHO;GERALDO ALCKMIN;12;APTO;2;DEFERIDO;COLIGAÇÃO;40;PSB;PARTIDO SOCIALISTA BRASILEIRO;2,80E+11;COLIGAÇÃO BRASIL DA ESPERANÇA;(PT/PC do B/PV) / SOLIDARIEDADE / (PSOL/REDE) / PSB / AGIR / AVANTE / PROS
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;27;JOAO BARBOSA BRAVO;PROFESSOR BRAVO;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;27;DC;DEMOCRACIA CRISTÃ;2,80E+11;PARTIDO ISOLADO;DC
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;44;MARCOS CINTRA CAVALCANTI DE ALBUQUERQUE;MARCOS CINTRA;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;44;UNIÃO;UNIÃO BRASIL;2,80E+11;PARTIDO ISOLADO;UNIÃO
2022;544;BR;PRESIDENTE;2,80002E+11;21;SOFIA PADUA MANZANO;SOFIA MANZANO;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;21;PCB;PARTIDO COMUNISTA BRASILEIRO;2,80E+11;PARTIDO ISOLADO;PCB
2022;545;BR;VICE-PRESIDENTE;2,80002E+11;22;WALTER SOUZA BRAGA NETTO;BRAGA NETTO;12;APTO;2;DEFERIDO;COLIGAÇÃO;22;PL;PARTIDO LIBERAL;2,80E+11;Pelo bem do Brasil;PP / REPUBLICANOS / PL
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;21;ANTONIO ALVES DA SILVA JUNIOR;ANTONIO ALVES;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;21;PCB;PARTIDO COMUNISTA BRASILEIRO;2,80E+11;PARTIDO ISOLADO;PCB
2022;544;BR;VICE-PRESIDENTE;2,80002E+11;16;RAQUEL AGUIAR SANTOS;RAQUEL TREMEMBÉ;12;APTO;2;DEFERIDO;PARTIDO ISOLADO;16;PSTU;PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO;2,80E+11;PARTIDO ISOLADO;PSTU
